,helpful_votes,location_id,lang,review_id,review,review_subject,trip_type,travel_date,rating,location_name,province,place_id
0,0,2209612,en,953596359,"Besides elegant grand palace and wat pra kaew (emerald Buddha temple), this is another temple of a must visit, this temple is made of porcelain.","The place is nearby grand palace, in the area of old Bangkok city, easy to find and a must visit place of temples in old",Family,2024-05-31,5,Wat Ratchabophit,Bangkok,P03013220
1,0,2209612,en,938998692,"This is one of the last big king temples of Bangkok.
It is that one with a lot of European aspects from the end of the 19th century.
It is not as spectacular like the big 3 at the river but nice.
There are so many Budha figures in a gallery and the main hall is very nice, too.
You can easily combine this Wat with the lovely Golden  Mountain.",Nice Wat,Solo travel,2024-02-29,4,Wat Ratchabophit,Bangkok,P03013220
2,6,2209612,en,933065689,"It is beautiful, clean and free to enter. Both exterior and interior are splendid. Doors, pillars, walls and windows are colorful and well decorated.",Nice views,Solo travel,2023-12-31,4,Wat Ratchabophit,Bangkok,P03013220
3,0,2209612,en,885904967,"Wat Ratchabophit is a Buddhist temple located on Fueang Nakhon Street in Bangkok. It was built during the reign of King Rama V (1868-1910). The temple has a unique layout. Wiharn and ubosot are connected by a circular courtyard, in the center of which is a gilded chedi (43 m high) with a golden ball on top. The temple is located near the Grand Palace and Wat Pho. It is definitely worth going there.",Wat Ratchabophit - a temple characterized by unique architecture,Couples,2022-10-31,5,Wat Ratchabophit,Bangkok,P03013220
4,4,2209612,en,782967555,"Wat Ratchabophit is a historic royal temple built by King Rama V in 1869. It consists of a 43 m high golden stupa surrounded by a central courtyard and a giant round wall beautifully decorated with hand made mosaics. At present Wat Ratchabophit is the residence of the Supreme Patriarch, the head of the Kingdom’s Buddhist community. On the temple grounds is a royal cemetery with many monuments containing the ashes of members of the immediate family of King Rama V, including wet nurses.
I have visited Wat Ratchabophit twice, in February 2020 and now, simply because I was so impressed by its beauty and the peaceful environment, on both occasions I met only very few visitors, 3 local worshippers this time. I was lucky as I met a monk cleaning the temple grounds who spoke English and explained to me the purpose of the various buildings.","Beautiful, peaceful",NONE,2021-01-31,5,Wat Ratchabophit,Bangkok,P03013220
5,3,2273363,en,837832355,So much peace and so much space in your mind. The vibes within the temple is overwhelmingly positive. Ladies need to be mindful of what they wear before entering the temple.,Need My Peace,NONE,2022-05-31,5,Wat Rajapradit Sathitmahasimaram Rajaworavihara,Bangkok,P03013220
6,1,2273363,en,764048613,"Probably one of the greater Sunday afternoons I have spent here in Bangkok -  the temple is new -  and ( thankfully) not very busy because of the C-19 closed border situation - 

Music playing is calm and restful -  the temple has several resting areas - 
Trees and plants bound up with flowering orchids, clean courtyards and the shimmering edifice to the Buddhist faith - a completely enjoyable experience, made even better with no entrance fees charged.  (not sure how long this will be the case...) 

The tiles are new, the gold plated, the mirrors sparkling, the  mosaic dazzling - any influencer's personal dream  -  Also a very unusual design for a temple. 

Slightly off the beaten track but still in the midst of  it all, about a 15 minute walk from Wat Pho in the direction of the Golden Mount -  
The nearest MRT station is Sam Yot or  MRT Sanam Chai  depending on your goals to visit. 

Well worth the visit and the time!",Beautiful and very restful!,NONE,2020-08-31,5,Wat Rajapradit Sathitmahasimaram Rajaworavihara,Bangkok,P03013220
7,4,2273363,en,743310255,"Bangkok has plenty of Royal Palaces and temples to visit and explore, many with, from a western view, unusual names. Many of them are located close to the river so be sure to take a trip to appreciate their grandeur. I can recommend an evening cruise on the river, lasting about three hours, including magnificent buffet dinner and complimentary drink costing about $A50. I found the Tourist Authority the best place to make a booking. Visit and enjoy !","""WAT"" AN AMAZING NAME !!!",NONE,2019-09-30,5,Wat Rajapradit Sathitmahasimaram Rajaworavihara,Bangkok,P03013220
8,2,2273363,en,738692369,One of the least crowded temples but very beautiful and worth the visit. No entry fee. There is also a cemetery in the back for members of the royal family with lovely gardens and stupas. ,Beautiful temple with few people,NONE,2019-12-31,5,Wat Rajapradit Sathitmahasimaram Rajaworavihara,Bangkok,P03013220
9,0,2273363,en,477904064,"Just situated next from Saranrom Park, this is the smallest royal temple(2rai) built in the reign of King Rama IV.(1864),his ashes of the king was also enshrined at the temple. Very peaceful atmosphere at this temple as not many people come here so I can enjoy meditation in the ubosot and gradually look at the great work of wall paintings in the main ordination hall. The wall paintings depicts the royal ceremonies over 12 months and legend of the solar eclipse phenomenon. 

I also enjoy walking around  the temple surrounded by several prangs and a large chedi (pagoda) behind. The ubosot, including its round columns, and the pagoda are completely surfaced with small square tiles of gray to white marble tiles.
",Beautiful small temple.,NONE,2017-04-30,5,Wat Rajapradit Sathitmahasimaram Rajaworavihara,Bangkok,P03013220
10,0,311043,en,964166267,"The complex is quite nice, but the gold reclining Buddha was stunning. An entrance fee is charged - no need to purchase online since it's easy to buy on sight - cash only when we were there. 

You will be asked to remove shoes (bags are available at the entrance). Clothing should be respectful - covered shoulders and knees for ladies.",Amazing Buddha,Couples,2024-07-31,4,Wat Phra Chetuphon,Bangkok,P03013220
