,location_id,name,province,place_id
0,2209612,Wat Ratchabophit,Bangkok,P03013220
1,2273363,Wat Rajapradit Sathitmahasimaram Rajaworavihara,Bangkok,P03013220
2,311043,Wat Phra Chetuphon,Bangkok,P03013220
3,317504,Temple Of Dawn (Wat Arun),Bangkok,P03013220
4,456322,Wat Umong,Bangkok,P03013220
5,1368436,Wat Rong Khun,Bangkok,P03013220
6,7913913,Wat Pak Nam,Bangkok,P03013220
7,447648,Wat Phra Singh,Bangkok,P03013220
8,456623,Wat Chaiwatthanaram,Bangkok,P03013220
9,1235228,Wat Mahathat,Bangkok,P03013220
13,2405697,Wat Hua Lumphong,Bangkok,P03013472
14,456261,The Golden Mount (Wat Saket),Bangkok,P03013472
15,496987,Wat Pho Thai Traditional Massage School,Bangkok,P03013472
16,8595513,Wat Samphanthawong Saram Worawihan (Wat Ko),Bangkok,P03013472
17,456262,Wat Suthat,Bangkok,P03013472
18,2274256,Wat Rakang Kositaram,Bangkok,P03013472
19,311044,Temple of the Emerald Buddha (Wat Phra Kaew),Bangkok,P03013472
20,7660023,Tiger God Shrine,Bangkok,P03013449
21,13347726,Tiger Kingdom Phuket,Bangkok,P03013449
22,12378803,Tiger Park Pattaya,Bangkok,P03013449
23,552410,Erawan Shrine (Thao Mahaprom Shrine),Bangkok,P03013449
24,9706798,Wat Intharam Worawiharn,Bangkok,P03013827
25,17131275,Wat Ratchakhue Worawiharn,Bangkok,P03013827
26,2723894,Wat Phra Bat Ming Mueang Worawiharn,Bangkok,P03013827
27,4322574,Wat Maha That Worawiharn,Bangkok,P03013827
34,1229768,Wat Sothon Wararam Worawihan,Bangkok,P03013469
35,3750296,Wat Phanan Choeng Worawihan,Bangkok,P03013469
36,6420124,Wat Prayurawongsawat Worawihan,Bangkok,P03013469
38,4322691,Wat Thammamun Worawihan,Bangkok,P03013469
39,6621070,Wat Tri Thotsathep Worawihan,Bangkok,P03013469
40,2721120,Wat Mahathat Worawihan,Bangkok,P03013469
41,6487057,Wat Mahathat Worawihan,Bangkok,P03013469
42,6669467,Wat Charoen Sukharam Worawihan,Bangkok,P03013469
43,8514333,Wat Kasatrathirat Worawihan,Bangkok,P03013469
44,8595657,Wat Thepsirintrawat Ratchaworawihan,Bangkok,P03014429
45,8595612,Wat Somanas Ratchaworawihan,Bangkok,P03014429
46,12879873,Wat Ratchaburana Ratchaworawihan,Bangkok,P03014429
47,9582501,Wat Suwan Dararam Ratchaworawihan,Bangkok,P03014429
48,14141392,Wat Pathum Khongkha Ratchaworawihan,Bangkok,P03014429
49,17130028,Wat Nang Ratchaworawihan,Bangkok,P03014429
50,17130682,Wat Ratcha Orasaram Ratchaworawihan (Chom Thong),Bangkok,P03014429
56,549695,Wat Ratchaburana (Temple of the Royal Restoration),Bangkok,P03014426
64,13197945,Wat Chakrawatrachawat Woramahawihan,Bangkok,P03025442
65,10842868,Wat Mahawan Woramahawihan,Bangkok,P03025442
77,456320,Wat Phra That Doi Suthep,Bangkok,P03025435
78,4773504,Wat Phra Dhammakaya,Bangkok,P03025435
79,4322927,Wat Khao Phra Si Sanphetchayaram or Wat Khao Phra,Bangkok,P03025435
80,2724111,Wat Phra That Phanom,Bangkok,P03025435
81,4322431,Wat Chaloem Phra Kiat,Bangkok,P03025435
82,8078161,Wat Bang Phra  Temple,Bangkok,P03025435
84,3980885,Wat Saman Rattanaram Temple,Bangkok,P03018425
85,14794385,Wat Hong Rattanaram,Bangkok,P03018425
87,17713658,Wat Pa Si Mongkhon Rattanaram,Bangkok,P03018425
89,9721812,Wat Nong Ri Rattanaram,Bangkok,P03018425
93,12641647,Wat Pa Tam Wua,Bangkok,P03018425
96,10513263,Sim Isan (Wat Pa Saeng Arun),Bangkok,P03025441
97,26322673,Thai Costume Wat Arun By Nay,Bangkok,P03025441
104,1803626,Museum of Siam,Bangkok,P03007639
105,24074729,Jodd Fairs,Bangkok,P03022261
106,25571501,Jodd Fairs DanNeramit,Bangkok,P03022261
107,9735832,Talat Phlu Train Station,Bangkok,P03025470
108,17131579,Wat Chantharam Worawihan (Wat Klang Talat Phlu),Bangkok,P03025470
109,554071,Pak Khlong Talat (Flower Market),Bangkok,P03025470
110,13964755,Wat Suan Phlu,Bangkok,P03025470
111,13910491,Talat Klang Ayatthaya,Bangkok,P03025470
112,15612468,Talat Nam Saphan Khong,Bangkok,P03025470
113,5995325,Old Phuket Town,Bangkok,P03025470
114,25340265,Le Lek Massage Suan Phlu 6,Bangkok,P03025470
115,4322717,Tham Khao Phlu Wildlife Conservation Area,Bangkok,P03025470
116,15580599,Talat Hua Mum Muang Mai,Bangkok,P03025470
127,3350373,Wat Kalayanamit Varamahavihara,Bangkok,P03013457
136,4115740,Wat Prathat Phasornkaew,Bangkok,P03013457
137,1949569,Siam AMAZING Park,Bangkok,P01002475
138,450965,Siam Center,Bangkok,P01002475
139,4309253,Siam Tulip Park,Bangkok,P01002475
140,1597172,Siam Square,Bangkok,P01002475
141,2578107,Siam Niramit Phuket,Bangkok,P01002475
142,11777217,Siam Discovery,Bangkok,P01002475
143,8117921,Siam Milsim,Bangkok,P01002475
144,600199,Siam Paragon,Bangkok,P01002475
145,5980316,Chang Siam Park,Bangkok,P01002475
146,13225760,Sut Siam Park,Bangkok,P01002475
