Province,Latitude,Longitude
Bangkok,13.7524938,100.4935089
Samut Prakan,13.6531651,100.8182578
Nonthaburi,13.8610918,100.3456772
Pathum Thani,14.048667,100.5640405
Phra Nakhon Si Ayutthaya,14.3189468,100.5111681
Ang Thong,14.6495224,100.3170382
Sing Buri,14.9936716,100.3602963
Chai Nat,15.1453182,99.9010244
Saraburi,14.5249471,100.9160757
Chon Buri,13.1857117,101.1210777
Rayong,12.7943716,101.3705344
Chanthaburi,12.9081033,102.0159145
Trat,12.2593544,102.4268871
Chachoengsao,13.6093192,101.5467201
Prachin Buri,14.1542055,101.5547823
Nakhon Nayok,14.1494474,101.2177459
Sa Kaeo,13.7686129,102.1345352
Nakhon Ratchasima,15.2241917,101.9313754
Buri Ram,14.9955693,103.1079187
Surin,15.0610142,103.7613123
Si Sa Ket,14.9222,104.4439596
Ubon Ratchathani,15.1879684,105.3269544
Yasothon,16.0282186,104.2748479
Chaiyaphum,16.2720349,101.7153824
Amnat Charoen,15.9949473,104.7328575
Nong Bua Lam Phu,17.2022252,102.440702
Khon Kaen,16.6022387,102.6352933
Udon Thani,17.5211917,102.6680012
Loei,17.3158563,101.4638277
Nong Khai,17.9301421,102.4649809
Maha Sarakham,15.9041448,103.0840638
Roi Et,15.7486448,103.7013017
Kalasin,16.434034,103.5059403
Sakon Nakhon,17.1904453,103.9730898
Nakhon Phanom,17.4032326,104.7853098
Mukdahan,16.6972385,104.3470293
Chiang Mai,18.7882778,98.9858802
Lamphun,18.2661422,98.96749
Lampang,18.6799728,99.7332501
Uttaradit,17.625163,100.4029452
Phrae,18.2930601,100.0886757
Nan,18.7544594,100.624804
Phayao,19.341673,100.1854539
Chiang Rai,19.7589517,99.6734592
Mae Hong Son,19.3927456,98.2031112
Nakhon Sawan,15.7054772,99.9288481
Uthai Thani,15.3912084,99.4560531
Kamphaeng Phet,16.4183581,99.6111616
Tak,17.1053568,98.9953943
Sukhothai,17.1446985,99.4375845
Phitsanulok,16.9779975,100.3848239
Phichit,16.4428085,100.3438228
Phetchabun,16.418027,101.1556825
Ratchaburi,13.6317897,99.3558216
Kanchanaburi,14.44019,99.2676727
Suphan Buri,14.6777,100.0350785
Nakhon Pathom,13.8918425,100.0165659
Samut Sakhon,13.5708192,100.2585874
Samut Songkhram,13.3576862,99.9619685
Phetchaburi,13.0692869,99.6044376
Prachuap Khiri Khan,11.8057688,99.7967271
Nakhon Si Thammarat,8.6772337,99.7309635
Krabi,8.1111653,99.1097298
Phangnga,8.4865492,98.5120762
Phuket,7.9366015,98.3529292
Surat Thani,9.4674663,98.830042
Ranong,10.0469546,98.6870133
Chumphon,10.3782724,99.0077685
Songkhla,6.8790221,100.5498542
Satun,7.0366682,99.9615397
Trang,7.5892935,99.5032004
Phatthalung,7.543525,99.9971582
Pattani,6.6997443,101.3989917
Yala,6.3344846,101.1409694
Narathiwat,6.4350352,101.8228923
Bueng Kan,18.2329562,103.8267114
