place_id,place_name,latitude,longitude,category_code,category_description,sha_name,sha_type_code,sha_type_description,sha_cate_id,sha_cate_description,address,sub_district,district,province,postcode,thumbnail_url,destination,tags,distance,update_date
P03002579,พระบรมมหาราชวัง,13.74983106,100.4912889,ATTRACTION,สถานที่ท่องเที่ยว,พระบรมมหาราชวัง,3,นันทนาการ และสถานที่ท่องเที่ยว,1,SHA,,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,10200,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P03002579.jpg,กรุงเทพมหานคร,N/A,0.0,2024-02-12T10:22:28.337
P03006845,พระปรางค์วัดอรุณราชวรารามราชวรมหาวิหาร,13.74379702,100.4889632,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,,วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,10600,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03006845.jpeg,กรุงเทพมหานคร,N/A,0.0,2024-02-07T14:29:29.31
P03007639,มิวเซียมสยาม พิพิธภัณฑ์การเรียนรู้,13.74417453,100.49416461,ATTRACTION,สถานที่ท่องเที่ยว,มิวเซียมสยาม,3,นันทนาการ และสถานที่ท่องเที่ยว,2,SHA Plus,ถนนสนามไชย,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,10200,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P03007639.jpg,กรุงเทพมหานคร,N/A,0.0,2024-02-23T15:17:07.253
P03012239,ศาลท้าวมหาพรหม,13.744251,100.540397,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03012239.jpeg,กรุงเทพมหานคร,N/A,0.0,2024-02-12T14:03:05.2
P03007495,เสาชิงช้า,13.75181942,100.5012976,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,,เสาชิงช้า,พระนคร,กรุงเทพมหานคร,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03007495.jpeg,กรุงเทพมหานคร,N/A,0.0,2024-02-12T13:52:05.74
P03025463,Street Art ถนนเจริญกรุง,13.72743627,100.51450491,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,,บางรัก,บางรัก,กรุงเทพมหานคร,10500,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025463.jpeg,กรุงเทพมหานคร,['Street Art'],0.0,2024-02-21T13:46:24.24
P03010105,ข้าวสาร การ์เดน,13.7591709,100.49800071,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,,ตลาดยอด,พระนคร,กรุงเทพมหานคร,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03010105.jpeg,กรุงเทพมหานคร,N/A,0.0,2023-10-16T17:35:30.647
P03022261,จ๊อดแฟร์,13.75693419,100.5669772,ATTRACTION,สถานที่ท่องเที่ยว,จ๊อดแฟร์,3,นันทนาการ และสถานที่ท่องเที่ยว,1,SHA,ถนนพระราม 9 (ติดห้างเซ็นทรัลพระราม9),ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,10310,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03022261.jpeg,กรุงเทพมหานคร,N/A,0.0,2024-02-23T15:06:05.467
P03013619,ชุมชนกุฎีจีน,13.739365,100.492974,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,ซอยวัดกัลยาณ์,วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,10600,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013619.jpeg,กรุงเทพมหานคร,N/A,0.0,2023-10-16T17:33:17.567
P03025466,ชุมชนคลองบางหลวง และบ้านศิลปิน คลองบางหลวง,13.7319064,100.46297316,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,ซอยเพชรเกษม 28,คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,10160,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025466.jpeg,กรุงเทพมหานคร,['คลองบางหลวง'],0.0,2024-02-21T15:37:00.573
P03014326,ชุมชนบ้านครัวเหนือ,13.749734,100.52762,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,831 ซอยพญานาค ถนนเพชรบุรี,ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,10400,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014326.jpeg,กรุงเทพมหานคร,N/A,0.0,2023-10-16T17:32:55.95
P03013237,ซาฟารีเวิลด์,13.86729747,100.70297216,ATTRACTION,สถานที่ท่องเที่ยว,ซาฟารีเวิลด์,3,นันทนาการ และสถานที่ท่องเที่ยว,1,SHA,99 ถนนรามอินทรา,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013237.jpeg,กรุงเทพมหานคร,['ซาฟารีเวิลด์'],0.0,2024-02-21T15:50:58.4
P03014759,ซีไลฟ์ แบงกอก โอเชี่ยน เวิร์ล,13.74596126,100.53518391,ATTRACTION,สถานที่ท่องเที่ยว,ซีไลฟ์ แบงคอก โอเชี่ยน เวิร์ล,3,นันทนาการ และสถานที่ท่องเที่ยว,2,SHA Plus,,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,10330,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014759.jpeg,กรุงเทพมหานคร,['Sea Life Bangkok Ocean World'],0.0,2024-02-21T11:56:16.2
P03013835,เดอะ สีลมแกลเลอเรีย อาร์ตสเปซ (นิทรรศการศิลปะหมุนเวียน),13.722176,100.520642,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,919/1 ถนนสีลม,สีลม,บางรัก,กรุงเทพมหานคร,10500,,กรุงเทพมหานคร,N/A,0.0,2020-02-20T19:30:00
P03014723,ตลาด อ.ต.ก.,13.79723506,100.5497535,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,101 ถนนพหลโยธิน,จตุจักร,จตุจักร,กรุงเทพมหานคร,10900,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014723.jpeg,กรุงเทพมหานคร,N/A,0.0,2023-10-16T17:32:49.36
P03013125,ตลาดกลางคืน ปากคลองตลาด,13.7416636,100.4951211,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,ถนนจักรเพชร,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013125.jpeg,กรุงเทพมหานคร,N/A,0.0,2023-10-16T17:33:22.38
P03014731,ตลาดกลางคืน สะพานพุทธ,13.74017554,100.49805304,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,ถนนตรีเพชร,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014731.jpeg,กรุงเทพมหานคร,N/A,0.0,2023-10-16T17:32:53.06
P03025457,ตลาดน้อย,13.73471127,100.51343464,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,,ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,10100,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025457.jpeg,กรุงเทพมหานคร,['ตลาดน้อย'],0.0,2024-02-21T11:38:26.49
P03014685,ตลาดนัดรถไฟ รัชดา,13.76741728,100.5687833,ATTRACTION,สถานที่ท่องเที่ยว,,,,,,ถนนรัชดาภิเษก,ดินแดง,ดินแดง,กรุงเทพมหานคร,10400,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014685.jpeg,กรุงเทพมหานคร,N/A,0.0,2020-02-20T19:30:00
