place_id,place_name,latitude,longitude,category_code,category_description,sha_name,sha_type_code,sha_type_description,sha_cate_id,sha_cate_description,address,sub_district,district,province,postcode,thumbnail_url,destination,tags,distance,update_date
P02000010,เซ็นทารา แกรนด์ แอท เซ็นทรัลพลาซา ลาดพร้าว กรุงเทพ,13.818145,100.559918,ACCOMMODATION,โรงแรม,โรงแรมเซ็นทาราแกรนด์ เซ็นทรัลพลาซา ลาดพร้าว กรุงเทพฯ,2,โรงแรมและที่พัก สถานที่จัดการประชุม,3,SHA Extra+,1695 ถนนพหลโยธิน,จตุจักร,จตุจักร,กรุงเทพมหานคร,10900,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P02000010.jpg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T13:44:08.187
P02000087,โซ โซฟิเทล แบงค็อก,13.726319,100.54308,ACCOMMODATION,โรงแรม,,,,,,188 ถนนสีลม,สีลม,บางรัก,กรุงเทพมหานคร,10500,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P02000087.jpeg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T15:21:13.793
P02012321,โรงแรม ดิ โอกุระ เพรสทีจ กรุงเทพฯ,13.74275462,100.54810345,ACCOMMODATION,โรงแรม,โรงแรม ดิ โอกุระ เพรสทีจ กรุงเทพฯ,2,โรงแรมและที่พัก สถานที่จัดการประชุม,3,SHA Extra+,57 ถนนวิทยุ,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P02012321.jpg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T17:19:49.387
P02000168,โรงแรมแกรนด์ เซ็นเตอร์พอยต์ ราชดำริ,13.741951,100.541125,ACCOMMODATION,โรงแรม,โรงแรมแกรนด์ เซนเตอร์พอยต์ ราชดำริ,2,โรงแรมและที่พัก สถานที่จัดการประชุม,3,SHA Extra+,153/2 ซอยมหาดเล็กหลวง 1 ถนนราชดำริ,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P02000168.jpg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T16:29:26.46
P02000016,โรงแรมโกลเด้น ทิวลิป ซอฟเฟอริน กรุงเทพ,13.753446,100.572209,ACCOMMODATION,โรงแรม,โรงแรมโกลเด้น ทิวลิป ซอฟเฟอริน กรุงเทพ,2,โรงแรมและที่พัก สถานที่จัดการประชุม,3,SHA Extra+,92 ซอยแสงจันทร์ ถนนพระราม 9,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,10310,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P02000016.jpg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T13:58:11.593
P02000086,โรงแรมโคโม เมโทรโพลิแทน แบงค็อก,13.723388,100.538961,ACCOMMODATION,โรงแรม,,,,,,27 ถนนสาทรใต้,ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,10120,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P02000086.jpeg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T15:19:15.497
P02000012,โรงแรมเจ้าพระยาปาร์ค,13.795869,100.573349,ACCOMMODATION,โรงแรม,,,,,,247 ถนนรัชดาภิเษก,รัชดาภิเษก,ดินแดง,กรุงเทพมหานคร,10400,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P02000012.jpeg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T13:49:10.04
P02000166,โรงแรมเชดอน สาทร,13.723818,100.538312,ACCOMMODATION,โรงแรม,,,,,,31 ถนนสาทรใต้,ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,10120,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P02000166.jpeg,กรุงเทพมหานคร,N/A,0.0,2019-09-11T16:25:08.67
P02000077,โรงแรมเชอราตัน แกรนด์ สุขุมวิท,13.737578,100.559034,ACCOMMODATION,โรงแรม,โรงแรมเชอราตันแกรนด์สุขุมวิท เอ ลักซ์ชัวรี่ คอลเลคชั่น โฮเทล,2,โรงแรมและที่พัก สถานที่จัดการประชุม,3,SHA Extra+,250 ถนนสุขุมวิท,คลองเตย,คลองเตย,กรุงเทพมหานคร,10110,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P02000077.jpg,กรุงเทพมหานคร,N/A,0.0,2023-09-21T13:44:18.53
P02000076,โรงแรมแชงกรี-ลา กรุงเทพ,13.719512,100.513631,ACCOMMODATION,โรงแรม,"โรงแรมแชงกรี-ลา กรุงเทพฯ
",2,โรงแรมและที่พัก สถานที่จัดการประชุม,3,SHA Extra+,89 ซอยวัดสวนพลู,บางรัก,บางรัก,กรุงเทพมหานคร,10500,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P02000076.jpg,BANGKOK,N/A,0.0,2020-08-31T16:14:34
