place_id,place_name,latitude,longitude,category_code,category_description,sha_name,sha_type_code,sha_type_description,sha_cate_id,sha_cate_description,address,sub_district,district,province,postcode,thumbnail_url,destination,tags,distance,update_date
P08000887,กินซ่าซูชิอิชิ,13.74349,100.540573,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,,,,,,,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P08000887.jpeg,กรุงเทพมหานคร,N/A,0.0,2019-09-24T09:04:11.437
P08000644,ฉั่วคิมเฮง,13.740378,100.602109,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,,,,,,"81,83 ถนนพัฒนาการ",สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10110,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P08000644.jpeg,กรุงเทพมหานคร,N/A,0.0,2019-09-12T17:58:55.443
P08020594,@ซอยเก้า,13.67774868,100.6515552,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,@ซอยเก้า,1,ภัตตาคาร/ร้านอาหาร,1,SHA,60/21 ถนนเฉลิมพระเกียรติ ร.9,หนองบอน,ประเวศ,กรุงเทพมหานคร,10260,,กรุงเทพมหานคร,N/A,0.0,2023-10-22T15:31:39.023
P08012291,100 มหาเศรษฐ์,13.72898642,100.51829774,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,100 มหาเศรษฐ์ สี่พระยา - เอกมัย,1,ภัตตาคาร/ร้านอาหาร,2,SHA Plus,104 ถนนมหาเศรษฐ์ แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,สี่พระยา,บางรัก,กรุงเทพมหานคร,10500,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P08012291.jpg,กรุงเทพมหานคร,N/A,0.0,2022-03-11T18:30:00
P08021103,101 อาหาร+ดื่ม,13.69127764,100.6142089,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,101 อาหาร+ดื่ม,1,ภัตตาคาร/ร้านอาหาร,1,SHA,694 สุขุมวิท 101,บางจาก,พระโขนง,กรุงเทพมหานคร,10260,,กรุงเทพมหานคร,N/A,0.0,2023-10-22T15:00:40.89
P08006469,103 พลัสแฟคตอรี่,13.78315023,100.54295344,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,,,,,,,พญาไท,พญาไท,กรุงเทพมหานคร,10400,,กรุงเทพมหานคร,N/A,0.0,2019-06-06T17:14:07
P08004235,12 อร่อยซาลาเปา (2490),13.75370014,100.50013649,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,,,,,,,เสาชิงช้า,พระนคร,กรุงเทพมหานคร,10200,,กรุงเทพมหานคร,N/A,0.0,2019-06-06T17:14:07
P08002327,18 สคูป,13.7139135,100.48858525,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,,,,,,,บุคคโล,ธนบุรี,กรุงเทพมหานคร,10600,,กรุงเทพมหานคร,N/A,0.0,2023-10-15T12:18:14.05
P08020809,1823 ทีเล้าจ์ บาย รอนเนอเฟล,13.7452797,100.5407377,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,1823 ทีเล้าจ์ บาย รอนเนอเฟล,1,ภัตตาคาร/ร้านอาหาร,1,SHA,999 ถนนเพลินจิต ลุมพินี ปทุมวัน กรุงเทพ 10330,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,10330,,กรุงเทพมหานคร,N/A,0.0,2023-10-22T18:29:37.61
P08005223,2 เอ็นคอฟฟี่,13.79237115,100.42855502,RESTAURANT,ร้านอาหาร กาแฟ เบเกอรี่,,,,,,,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,10170,,กรุงเทพมหานคร,N/A,0.0,2019-06-06T17:14:07
