place_id,place_name,latitude,longitude,category_code,category_description,sha_name,sha_type_code,sha_type_description,sha_cate_id,sha_cate_description,address,sub_district,district,province,postcode,thumbnail_url,destination,tags,distance,update_date
P06000698,32 มอเตอร์ไซค์,13.745079,100.470073,SHOP,ร้านค้า,,,,,,,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,10700,,กรุงเทพมหานคร,N/A,0.0,2023-10-01T17:45:34.463
P06000411,9 เค การช่าง,13.607451,100.426857,SHOP,ร้านค้า,,,,,,17/673,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,,กรุงเทพมหานคร,N/A,0.0,2019-12-13T12:39:06.313
P06002110,JIM THOMPSON,13.730429,100.533504,SHOP,ร้านค้า,,,,,,9 ถนนสุรวงศ์,สุริยวงศ์,บางรัก,กรุงเทพมหานคร,10500,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P06002110.jpeg,กรุงเทพมหานคร,N/A,0.0,2021-12-29T13:47:26.167
P06002136,JIM THOMPSON,13.730429,100.533504,SHOP,ร้านค้า,,,,,,9 ถนนสุรวงศ์,สุริยวงศ์,บางรัก,กรุงเทพมหานคร,10500,https://tatapi.tourismthailand.org/tatfs/IMAGE/CustomPOI/Thumbnail/P06002136.jpg,BANGKOK,N/A,0.0,2020-08-31T16:14:34
P06000004,กลุ่มดอกไม้ประดิษฐ์สินเกล้า,13.748388,100.740892,SHOP,ร้านค้า,,,,,,198/242 หมู่ 5 ถนนร่มเกล้า,คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,10520,,กรุงเทพมหานคร,N/A,0.0,2019-11-12T10:52:22.553
P06000523,การะเกด,13.839925,100.545585,SHOP,ร้านค้า,,,,,,,ลาดยาว,จตุจักร,กรุงเทพมหานคร,10900,,กรุงเทพมหานคร,N/A,0.0,2023-10-01T17:03:11.047
P06000697,กิจรุ่งเรืองมอเตอร์,13.772045,100.481278,SHOP,ร้านค้า,,,,,,126/17,อรุณอมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,10700,,กรุงเทพมหานคร,N/A,0.0,2019-12-13T12:32:45.18
P06000525,ขนมแม่อุดม,13.758131,100.502089,SHOP,ร้านค้า,,,,,,66 ตรอกบวรรังษี,บวรนิเวศ,พระนคร,กรุงเทพมหานคร,10200,,กรุงเทพมหานคร,N/A,0.0,2023-10-01T17:04:03.397
P06002181,คิงพาวเวอร์คอมเพล็กซ์,13.759584,100.537861,SHOP,ร้านค้า,,,,,,8 อาคารคิง เพาเวอร์ คอมเพล็กซ์ ถนนรางน้ำ,ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,10400,,BANGKOK,N/A,0.0,2020-08-31T16:14:34
P06000691,เคดีช๊อปเรซิ่ง,13.721833,100.719652,SHOP,ร้านค้า,,,,,,156,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,10520,,กรุงเทพมหานคร,N/A,0.0,2023-10-01T17:45:17.43
