ภาค,จังหวัด,รายการ,รายการย่อย,ประเภทผู้เยี่ยมเยือน,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565
กรุงเทพมหานคร,กรุงเทพมหานคร,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  43,763,002 ","  47,185,031 ","  50,568,902 ","  50,972,772 ","  56,515,597 ","  59,196,331 ","  63,575,737 ","  65,534,281 ","  66,966,562 ","  23,637,361 ","  13,706,439 ","  39,001,250 "
,,,,ชาวไทย,"  28,867,346 ","  30,269,692 ","  31,988,047 ","  32,830,273 ","  35,645,681 ","  38,507,058 ","  41,121,871 ","  41,682,963 ","  42,073,847 ","  18,793,166 ","  13,061,862 ","  29,400,978 "
,,,,ชาวต่างประเทศ,"  14,895,656 ","  16,915,339 ","  18,580,855 ","  18,142,499 ","  20,869,916 ","  20,689,273 ","  22,453,866 ","  23,851,318 ","  24,892,715 ","  4,844,195 ","  644,577 ","  9,600,272 "
,,,จำนวนนักท่องเที่ยว,รวม,"  30,649,772 ","  34,407,750 ","  37,145,237 ","  37,097,326 ","  41,283,511 ","  42,452,892 ","  45,602,422 ","  48,019,195 ","  49,054,753 ","  17,370,584 ","  8,578,532 ","  27,023,530 "
,,,,ชาวไทย,"  16,847,839 ","  18,585,134 ","  19,677,487 ","  20,065,603 ","  21,696,700 ","  23,041,068 ","  24,516,872 ","  25,581,323 ","  25,625,341 ","  12,699,479 ","  8,009,757 ","  18,223,145 "
,,,,ชาวต่างประเทศ,"  13,801,933 ","  15,822,616 ","  17,467,750 ","  17,031,723 ","  19,586,811 ","  19,411,824 ","  21,085,550 ","  22,437,872 ","  23,429,412 ","  4,671,105 ","  568,775 ","  8,800,385 "
,,,จำนวนนักทัศนาจร,รวม,"  13,113,230 ","  12,777,281 ","  13,423,665 ","  13,875,446 ","  15,232,086 ","  16,743,439 ","  17,973,315 ","  17,515,086 ","  17,911,809 ","  6,266,777 ","  5,127,907 ","  11,977,720 "
,,,,ชาวไทย,"  12,019,507 ","  11,684,558 ","  12,310,560 ","  12,764,670 ","  13,948,981 ","  15,465,990 ","  16,604,999 ","  16,101,640 ","  16,448,506 ","  6,093,687 ","  5,052,105 ","  11,177,833 "
,,,,ชาวต่างประเทศ,"  1,093,723 ","  1,092,723 ","  1,113,105 ","  1,110,776 ","  1,283,105 ","  1,277,449 ","  1,368,316 ","  1,413,446 ","  1,463,303 ","  173,090 ","  75,802 ","  799,887 "
