place_id,place_name,latitude,longitude,category_code,category_description,sha_name,sha_type_code,sha_type_description,sha_cate_id,sha_cate_description,address,sub_district,district,province,postcode,thumbnail_url,destination,tags,distance,update_date
P03013220,Wat Ratchabophit Sathitmahasimaram,13.74913215,100.49734105,ATTRACTION,Attraction,,,,,,2 Fueang Nakhon Road,Wat Ratchabophit,Phra Nakhon,Bangkok,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013220.jpeg,BANGKOK,N/A,0.0,2024-05-27T14:30:11.51
P03013472,Wat Yan Nawa,13.71733259,100.51355185,ATTRACTION,Attraction,,,,,,40 Charoen Krung Road,Yan Nawa,Sathon,Bangkok,10120,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013472.jpeg,BANGKOK,N/A,0.0,2024-05-24T15:09:37.447
P03013449,Tiger God Shrine,13.75385222,100.49831897,ATTRACTION,Attraction,,,,,,468 Tanao Road,San Chaopho Suea,Phra Nakhon,Bangkok,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013449.jpeg,BANGKOK,N/A,0.0,2024-05-24T15:04:50.82
P03013827,Wat Thewarat Kunchorn Worawiharn,13.77230279,100.50195656,ATTRACTION,Attraction,,,,,,,Wachira Phayaban,Dusit,Bangkok,10300,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013827.jpeg,BANGKOK,N/A,0.0,2024-05-24T14:40:56.073
P03013469,Wat Apson Sawan Worawihan,13.72002996,100.46988559,ATTRACTION,Attraction,,,,,,,Pak Khlong Phasi Charoen,Phasi Charoen,Bangkok,10160,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013469.jpeg,BANGKOK,N/A,0.0,2024-05-24T14:33:22.5
P03014429,Wat Ratchaorasaram Ratchaworawihan,13.7028835,100.4643144,ATTRACTION,Attraction,,,,,,"258 Soi Ekkachai 4, Ekkachai Road",Bang Khun Thian,Chom Thong,Bangkok,10150,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014429.jpeg,BANGKOK,N/A,0.0,2024-05-23T13:17:47.82
P03014426,Wat Ratchaburana (Bangkok),13.74238137,100.4991087,ATTRACTION,Attraction,,,,,,119 Chakphet Road,Wang Burapha Phirom,Phra Nakhon,Bangkok,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014426.jpeg,BANGKOK,['วัดเลียบ'],0.0,2024-04-11T15:35:30.617
P03025442,Wat Rakhangkhositaram Woramahawihan,13.75268789,100.48544464,ATTRACTION,Attraction,,,,,,,Sirirat,Bangkok Noi,Bangkok,10700,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025442.jpeg,BANGKOK,['วัดระฆัง'],0.0,2024-04-11T15:20:02.5
P03025435,Wat Phra Chetuphon Wimonmangkalaram Ratchaworamahawihan or Wat Pho,13.74651621,100.49372618,ATTRACTION,Attraction,,,,,,"Phra Nakhon, Bangkok",Phraborom Maharatchawang,Phra Nakhon,Bangkok,10200,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025435.jpeg,BANGKOK,"['Wat Pho', 'วัดโพธิ์']",0.0,2024-04-11T14:22:47.053
P03018425,Wat Hong Rattanaram Ratchaworawihan,13.73937511,100.4881195,ATTRACTION,Attraction,Wat Hong Rattanaram Ratchaworawihan,3,Recreational activity and tourist attraction,1,SHA,72 Wangderm Road,Wat Arun,Bangkok Yai,Bangkok,10600,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03018425.jpeg,BANGKOK,N/A,0.0,2024-04-11T14:15:23.383
P03025441,Wat Arun Ratchawararam Ratchawaramahawihan,13.74435548,100.48808184,ATTRACTION,Attraction,,,,,,,Wat Arun,Bangkok Yai,Bangkok,10600,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025441.jpeg,BANGKOK,"['Wat Arun', 'วัดอรุณ']",0.0,2024-03-08T14:57:48.033
P03007639,"Museum Siam, a learning museum",13.74417453,100.49416461,ATTRACTION,Attraction,Museum Siam,3,Recreational activity and tourist attraction,2,SHA Plus,Sanam Chai Road,Phraborom Maharatchawang,Phra Nakhon,Bangkok,10200,https://tatapi.tourismthailand.org/tatfs/Image/custompoi/Thumbnail/P03007639.jpg,BANGKOK,N/A,0.0,2024-02-23T15:17:07.253
P03022261,Jodd Fairs,13.75693419,100.5669772,ATTRACTION,Attraction,Jodd Fairs,3,Recreational activity and tourist attraction,1,SHA,behind Central Rama 9 Department Store,Huai Khwang,Huai Khwang,Bangkok,10310,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03022261.jpeg,BANGKOK,N/A,0.0,2024-02-23T15:06:05.467
P03025470,Talat Phlu,13.71848085,100.47478536,ATTRACTION,Attraction,,,,,,,Talat Phlu,Thon Buri,Bangkok,10600,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025470.jpeg,BANGKOK,N/A,0.0,2024-02-23T14:55:46.367
P03014397,Wat Prayurawongsawat Worawihan,13.73675108,100.4956928,ATTRACTION,Attraction,Wat Prayurawongsawas Waraviharn,3,Recreational activity and tourist attraction,1,SHA,,Wat Kanlaya,Thon Buri,Bangkok,10600,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014397.jpeg,BANGKOK,['วัด'],0.0,2024-02-23T14:51:24.95
P03013457,Wat Kalayanamit Woramahawiharn,13.7398839,100.49125164,ATTRACTION,Attraction,Wat Kalayanamitr Varamahavihara,3,Recreational activity and tourist attraction,1,SHA,Arun Ammarin Road,Wat Kanlaya,Thon Buri,Bangkok,10600,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013457.jpeg,BANGKOK,['วัด'],0.0,2024-02-23T14:44:32.037
P01002475,Siam Amazing Park,13.80748115,100.69394096,ATTRACTION,Attraction,Siam Amazing Park,3,Recreational activity and tourist attraction,2,SHA Plus,,Khan Na Yao,Khan Na Yao,Bangkok,10230,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P01002475.jpeg,BANGKOK,N/A,0.0,2024-02-23T14:39:47.723
P03012197,Siam Serpentarium,13.71041768,100.82393738,ATTRACTION,Attraction,Siam Serpentarium,3,Recreational activity and tourist attraction,2,SHA Plus,,Thap Yao,Lat Krabang,Bangkok,10520,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03012197.jpeg,BANGKOK,N/A,0.0,2024-02-23T14:30:56.48
P03014670,Kwan Riam Floating Market,13.7991771,100.70957739,ATTRACTION,Attraction,,,,,,"45 Soi Ramkhamhaeng 187, Ramkhamhaeng Road",Min Buri,Min Buri,Bangkok,10510,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03014670.jpeg,BANGKOK,N/A,0.0,2024-02-23T14:19:34.057
P03025469,Chatuchak Weekend Market,13.799065,100.550227,ATTRACTION,Attraction,,,,,,Kamphaeng Phet Road,Chatuchak,Chatuchak,Bangkok,10900,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025469.jpeg,BANGKOK,N/A,0.0,2024-02-21T16:10:26.98
P03013237,Safari World,13.86729747,100.70297216,ATTRACTION,Attraction,SAFARIWORLD,3,Recreational activity and tourist attraction,1,SHA,99 Ram Inthra Road,Sam Wa Tawan Tok,Khlong Sam wa,Bangkok,10510,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03013237.jpeg,BANGKOK,['ซาฟารีเวิลด์'],0.0,2024-02-21T15:50:58.4
P03025467,Uncle Ree Farm,13.71932654,100.44770001,ATTRACTION,Attraction,,,,,,Soi Phet Kasem 46,Bang wa,Phasi Charoen,Bangkok,10160,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025467.jpeg,BANGKOK,['ฟาร์มลุงรีย์'],0.0,2024-02-21T15:45:38.097
P03025466,"Khlong Bang Luang Community and Artist’s House, Khlong Bang Luang",13.7319064,100.46297316,ATTRACTION,Attraction,,,,,,Soi Phet Kasem 28,Khuha Sawan,Phasi Charoen,Bangkok,10160,https://tatapi.tourismthailand.org/tatfs/Image/CustomPOI/Thumbnail/P03025466.jpeg,BANGKOK,['คลองบางหลวง'],0.0,2024-02-21T15:37:00.573
